year,month,province,count,TMAX,TMIN,PPT,TAVG,WS,SOIL,Population,dengue_rate,CCA_1,GPP,GPPperCapita
2017,8,Kamphaeng Phet,64.0,31.48864,23.88192,218.02544,27.68528,0.9844,280.05984,729367.0,8.774732062185429,62,110824,0.15194545407181845
2017,9,Kamphaeng Phet,70.0,32.00048,23.87264,248.10304,27.93656,0.932608,280.05984,729331.0,9.597836921781742,62,110824,0.15195295414564855
2017,10,Kamphaeng Phet,39.0,31.15648,23.14064,273.42864,27.14856,0.833072,280.05984,729034.0,5.349544740025842,62,110824,0.1520148580175959
2017,11,Kamphaeng Phet,12.0,31.00992,21.54688,26.15456,26.2784,0.99744,229.36752,729101.0,1.6458625073892368,62,110824,0.152000888765754
2017,12,Kamphaeng Phet,8.0,29.84192,18.47856,29.34512,24.16024,1.27016,189.34352,729133.0,1.0971935161349164,62,110824,0.15199421779016997
2017,1,Kanchanaburi,4.0,30.96440062,19.90809549,23.09154126,25.436248055,1.152086144,278.9536066,885809.0,0.4515646149452083,71,97564,0.11014112523128575
2017,2,Kanchanaburi,3.0,33.03352361,18.55064868,13.23181111,25.792086145,1.269501816,223.6245978,886025.0,0.33859089754803756,71,97564,0.11011427442792246
2017,3,Kanchanaburi,2.0,34.4425013,21.64135963,77.00664245,28.041930465,1.185542294,192.2733783,886414.0,0.22562820533069197,71,97564,0.11006595112441817
2017,4,Kanchanaburi,1.0,34.48277115,23.17161391,59.12693306,28.82719253,1.16150493,158.0061235,886749.0,0.11277148324948774,71,97564,0.11002436991753022
2017,5,Kanchanaburi,7.0,31.95262065,23.41956409,468.2254281,27.68609237,1.094810586,374.2137519,886566.0,0.7895633263626171,71,97564,0.11004708053320339
2017,6,Kanchanaburi,19.0,30.96274001,22.97540218,408.5547483,26.969071095,0.925713544,378.6709393,887432.0,2.141009113937744,71,97564,0.10993969115380108
2017,7,Kanchanaburi,41.0,30.16959004,22.83549559,328.0017125,26.502542815,1.191292164,381.2366892,887913.0,4.6175695141303255,71,97564,0.10988013465283197
2017,8,Kanchanaburi,13.0,30.35262065,22.98816814,400.5615983,26.670394395,0.631022314,383.7497146,888163.0,1.463695290166332,71,97564,0.10984920560752925
2017,9,Kanchanaburi,7.0,31.25786196,23.08541775,357.75589,27.171639855,0.8036274,392.787234,888597.0,0.7877586802566293,71,97564,0.10979555411508254
2017,10,Kanchanaburi,8.0,30.8716658,22.75147898,303.8202387,26.81157239,0.858925791,393.260301,888984.0,0.8999037103029975,71,97564,0.10974775699000207
2017,11,Kanchanaburi,14.0,30.19185262,21.37140633,48.47062792,25.781629475,0.98770109,354.4747276,888070.0,1.576452306687536,71,97564,0.10986070917833053
2017,12,Kanchanaburi,12.0,29.54063311,18.71536066,23.37882719,24.127996885,1.469766476,304.6293202,887979.0,1.351383309740433,71,97564,0.10987196769292967
2017,1,Khon Kaen,11.0,30.34155102,18.87102041,5.647346939,24.606285715,1.821730612,63.20661224,1801565.0,0.610580245508766,40,204050,0.11326263554187609
2017,2,Khon Kaen,1.0,32.71387755,18.23028571,10.40873469,25.47208163,1.9184,48.3442449,1801589.0,0.055506555601749344,40,204050,0.11326112670536954
2017,3,Khon Kaen,6.0,34.69208163,22.264,87.588,28.478040815,1.388546939,39.53167347,1801946.0,0.332973352142628,40,204050,0.11323868750783875
2017,4,Khon Kaen,10.0,34.95893878,23.48342857,84.65885714,29.221183675,1.775689796,33.49640816,1802456.0,0.5547985637374782,40,204050,0.11320664693063243
2017,5,Khon Kaen,37.0,33.24277551,24.16481633,216.6969796,28.70379592,1.280057143,90.53110204,1802625.0,2.052562235628597,40,204050,0.11319603356216629
2017,6,Khon Kaen,77.0,32.76767347,24.32032653,198.624,28.544,1.593061224,142.771102,1802288.0,4.272347149845086,40,204050,0.11321719947089477
2017,7,Khon Kaen,101.0,30.90661224,24.16285714,204.0433469,27.53473469,1.711722449,211.1278367,1801865.0,5.605303393983456,40,204050,0.11324377797448755
